rated,turns,game_result,winner,opening_moves,estimated_time,rating_difference
1,40,3,2,5,10.0,0
1,49,0,0,5,8.0,-234
1,50,2,2,6,10.0,330
1,59,3,0,5,10.0,781
1,26,0,2,4,25.0,25
1,23,3,0,5,25.0,294
1,118,3,2,5,25.0,149
1,66,3,2,4,25.0,-70
1,120,1,1,8,25.0,-73
1,36,3,2,11,25.0,-121
1,26,3,2,6,25.0,-125
1,62,2,2,11,25.0,39
1,37,2,0,3,25.0,151
1,24,2,2,4,25.0,-144
0,47,2,0,6,31.0,-32
1,37,2,2,7,25.0,-38
1,24,2,2,5,25.0,-136
1,9,2,0,3,25.0,61
1,47,3,0,8,25.0,-73
1,85,3,0,2,25.0,43
1,39,3,0,2,25.0,-5
1,58,3,2,6,25.0,102
1,95,3,0,11,25.0,34
1,97,3,0,4,25.0,11
1,12,1,1,5,25.0,-4
1,30,2,0,8,25.0,0
1,43,3,0,8,10.0,325
1,11,2,0,2,25.0,91
1,72,3,2,5,25.0,-9
1,18,2,2,4,25.0,-398
0,77,3,0,7,11.0,-37
1,32,2,2,5,30.0,212
1,35,2,0,5,25.0,-37
1,85,3,0,2,25.0,0
1,50,2,2,6,25.0,-115
1,111,2,0,5,17.0,3
1,65,0,0,5,8.0,0
1,73,2,0,4,15.0,-30
1,125,2,0,4,15.0,-67
1,76,2,2,6,15.0,17
1,65,0,0,6,10.0,79
1,41,3,0,11,10.0,48
1,59,2,0,3,10.0,-39
1,70,2,2,5,18.0,20
1,34,2,0,5,42.0,-20
1,69,0,0,1,8.0,-3
1,63,2,0,8,17.0,-48
1,107,2,0,4,17.0,29
1,58,2,0,1,30.0,45
0,34,2,2,6,23.0,-9
1,100,0,2,3,15.0,3
1,80,2,2,4,8.0,42
1,44,2,2,3,15.0,40
1,40,0,2,3,10.0,5
1,105,0,0,4,10.0,36
1,50,2,2,6,15.0,-99
0,81,2,2,11,10.0,-31
1,69,2,2,6,15.0,17
1,77,3,0,11,12.0,-25
1,107,1,1,7,18.0,31
1,117,3,0,12,15.0,27
1,44,2,0,8,10.0,-1
1,40,2,2,4,15.0,-1
1,59,2,0,2,18.0,1
0,110,2,2,4,10.0,-72
1,30,2,2,4,15.0,68
1,54,2,2,4,10.0,24
1,69,2,2,5,10.0,-23
1,136,2,2,2,15.0,-26
0,124,3,2,5,8.0,16
1,96,2,2,1,13.0,20
1,53,0,0,4,12.0,50
1,39,3,0,1,10.0,12
1,10,3,2,3,10.0,12
1,51,3,0,8,10.0,-9
1,18,2,2,13,15.0,-9
0,106,3,2,8,30.0,-337
0,38,3,2,5,25.0,-173
1,59,3,0,7,8.0,201
1,111,3,0,3,8.0,56
1,28,2,2,9,8.0,-819
0,101,0,0,6,8.0,142
0,15,3,0,7,8.0,517
0,42,2,0,5,8.0,-22
0,118,2,2,3,8.0,142
0,34,2,2,6,8.0,-195
0,60,2,2,5,8.0,-521
0,66,2,2,5,8.0,517
0,21,0,0,5,10.0,-211
1,73,3,0,8,16.0,112
0,74,2,0,4,15.0,69
0,28,3,2,3,15.0,-69
1,112,3,2,6,10.0,-484
1,104,2,2,4,16.0,-166
1,40,3,2,5,16.0,290
1,44,3,2,4,16.0,-260
1,60,3,2,5,10.0,376
1,37,3,0,11,10.0,-196
1,88,0,2,7,10.0,-510
1,113,3,0,7,10.0,-2
1,55,3,0,8,23.0,21
1,135,3,0,5,10.0,-10
1,137,1,1,5,10.0,-49
1,97,0,0,6,10.0,142
0,33,2,2,2,11.0,59
0,29,2,2,3,30.0,119
0,55,2,2,2,9.0,-566
1,91,2,0,4,27.0,128
1,53,2,0,4,9.0,-14
1,49,3,0,5,11.0,17
1,48,3,2,4,11.0,-110
1,20,2,2,4,16.0,-49
1,87,3,0,6,10.0,1
1,11,2,0,9,10.0,-81
1,110,1,1,2,17.0,46
1,24,2,0,1,11.0,-22
1,23,2,0,4,25.0,-182
1,81,3,0,5,35.0,-60
0,34,2,2,2,20.0,87
1,103,3,0,4,16.0,26
1,29,2,2,4,37.0,50
0,22,2,2,4,40.0,-11
0,38,2,0,5,10.0,460
1,46,3,2,9,8.0,17
1,23,0,0,6,8.0,113
1,31,2,0,5,12.0,28
0,51,2,0,4,10.0,-49
0,87,3,0,6,20.0,354
1,38,2,2,5,25.0,-101
0,43,2,0,6,13.0,247
1,105,2,0,4,10.0,49
0,87,0,0,2,10.0,25
0,36,3,2,6,10.0,-25
1,38,2,2,6,10.0,102
1,110,2,2,3,8.0,-101
1,48,2,2,8,15.0,10
0,95,3,0,5,10.0,-50
0,70,3,2,1,10.0,50
0,42,2,0,7,10.0,-75
1,114,3,2,2,11.0,155
1,57,2,0,2,11.0,-233
1,57,2,0,5,9.0,-115
0,82,1,1,2,10.0,-36
1,29,3,0,5,9.0,57
1,70,2,2,7,10.0,-123
1,97,3,0,6,10.0,24
1,99,2,0,11,9.0,-321
0,74,2,2,5,10.0,252
1,48,3,2,2,8.0,189
1,77,3,0,6,15.0,-25
1,80,2,2,6,15.0,59
1,35,2,0,5,8.0,-191
1,33,2,0,8,10.0,201
1,87,3,0,4,10.0,136
1,40,2,2,4,10.0,37
1,54,2,2,4,10.0,-5
1,67,2,2,9,10.0,-31
1,21,3,0,4,10.0,-5
1,14,3,2,6,10.0,50
0,71,2,0,18,25.0,-363
1,72,0,2,8,10.0,-334
1,62,2,2,5,10.0,-27
1,48,2,2,1,10.0,331
1,6,0,2,6,11.0,-394
1,69,1,1,12,20.0,-448
1,72,2,0,4,25.0,133
1,40,3,2,5,25.0,-66
1,29,3,0,2,25.0,-43
1,44,2,0,2,25.0,14
1,59,3,0,3,10.0,32
1,115,2,0,6,10.0,3
1,70,2,2,2,10.0,-6
1,36,2,2,2,10.0,-37
1,83,2,0,7,10.0,-62
1,99,1,1,9,10.0,-148
1,43,2,0,6,10.0,139
1,89,2,0,8,10.0,-10
1,96,2,2,3,10.0,-55
0,116,3,2,8,10.0,25
0,78,3,2,1,15.0,-130
0,77,3,0,1,15.0,130
0,70,3,2,3,15.0,-130
0,27,2,0,7,10.0,-35
0,102,2,2,1,10.0,105
0,21,2,0,9,10.0,-105
0,33,2,0,1,10.0,105
0,74,2,2,5,10.0,-92
1,65,2,0,1,28.0,-84
1,81,2,0,5,28.0,59
1,45,2,2,3,28.0,-365
1,52,2,0,8,28.0,-2
1,51,2,0,4,10.0,-2
1,48,1,1,3,10.0,9
1,20,2,2,1,10.0,13
1,50,3,2,5,10.0,125
1,98,2,2,5,10.0,52
1,106,3,2,6,10.0,0
1,19,2,0,5,10.0,-2
1,22,2,0,8,10.0,-19
1,114,1,1,4,10.0,72
1,69,2,2,4,10.0,-53
1,34,3,2,8,10.0,17
1,40,3,2,8,10.0,-4
1,108,2,2,6,10.0,132
1,27,2,0,3,10.0,-163
1,63,2,0,5,10.0,-21
1,31,2,0,5,10.0,46
1,71,2,0,6,10.0,-8
1,92,3,2,6,10.0,-210
1,47,3,0,7,10.0,200
1,56,2,2,5,10.0,-30
1,48,2,0,3,10.0,10
1,124,2,2,1,10.0,50
1,49,3,0,8,10.0,69
1,64,2,2,13,10.0,12
1,29,2,0,7,10.0,10
1,45,2,0,5,10.0,-5
1,96,2,2,6,10.0,-13
1,92,2,2,3,10.0,31
1,40,3,2,9,10.0,20
1,123,3,0,19,10.0,-44
1,129,3,0,4,10.0,414
1,120,3,2,9,10.0,20
1,71,1,1,6,10.0,15
1,97,3,0,3,10.0,2
1,60,2,0,2,10.0,-25
1,57,2,0,6,10.0,-17
1,38,2,0,5,10.0,141
1,111,2,0,8,8.0,276
1,119,2,2,4,10.0,111
1,33,3,0,5,10.0,-144
1,32,2,0,6,10.0,251
1,96,2,2,8,15.0,-80
1,92,1,1,2,15.0,189
1,64,2,2,3,9.0,-258
1,10,2,2,7,8.0,148
1,85,2,0,4,25.0,-68
1,40,2,2,10,10.0,-352
1,58,2,2,2,10.0,-158
1,26,0,2,2,25.0,-67
1,4,0,2,3,25.0,-125
1,118,3,2,3,10.0,-178
1,11,3,0,1,25.0,253
1,95,3,0,4,10.0,146
1,37,2,2,3,10.0,-155
1,101,3,0,3,11.0,233
1,80,0,2,5,10.0,61
1,78,2,2,1,10.0,-110
1,89,0,1,4,10.0,-128
1,42,3,2,4,10.0,-104
1,8,0,2,6,10.0,-18
1,101,0,0,3,10.0,83
1,65,0,0,3,10.0,-180
1,60,3,2,4,10.0,-2
1,71,1,1,3,10.0,3
1,44,2,2,4,10.0,-108
1,20,2,2,4,10.0,-23
1,41,2,0,3,10.0,0
1,40,2,2,2,10.0,0
1,27,2,0,7,42.0,-71
1,59,2,2,1,22.0,-499
1,19,3,0,2,10.0,217
1,50,3,2,1,10.0,-290
1,34,2,2,15,10.0,200
1,15,3,0,2,10.0,109
1,52,2,2,1,10.0,-93
1,65,3,0,2,10.0,74
1,67,2,0,5,10.0,-36
1,31,2,2,4,8.0,-775
0,130,3,2,2,8.0,105
1,125,3,0,5,8.0,-32
1,76,2,2,3,18.0,-80
1,121,2,0,3,18.0,53
0,53,2,0,3,30.0,141
1,116,0,2,9,16.0,112
0,47,2,0,4,25.0,-398
0,53,2,0,3,25.0,398
0,76,3,2,4,25.0,-398
1,110,1,1,8,22.0,-103
1,67,3,0,9,17.0,-45
1,17,2,0,4,33.0,197
1,39,3,0,2,35.0,0
1,94,2,2,5,30.0,65
1,37,2,0,8,17.0,391
1,37,3,0,5,20.0,162
0,34,2,0,3,25.0,-123
0,41,0,0,5,10.0,-205
0,30,2,2,4,20.0,470
1,51,2,0,3,10.0,-2
1,79,3,0,6,10.0,-36
1,83,2,0,5,10.0,21
1,14,2,2,6,13.0,228
1,21,2,0,4,10.0,-16
1,47,2,0,2,10.0,296
1,38,2,0,2,10.0,136
1,34,2,2,7,10.0,-41
1,39,2,0,6,10.0,-20
1,43,2,0,3,11.0,190
1,41,3,0,3,10.0,-242
1,49,2,0,3,21.0,265
1,38,0,2,4,17.0,-20
1,70,0,2,4,8.0,153
1,48,2,2,4,10.0,-262
1,50,2,2,11,10.0,319
1,57,2,0,3,10.0,-426
1,62,3,2,4,15.0,75
1,29,2,0,2,10.0,131
1,52,3,2,6,10.0,170
1,26,3,2,6,10.0,56
1,59,2,2,2,10.0,108
1,56,2,2,4,10.0,-2
1,40,2,2,2,10.0,-423
1,31,3,0,2,10.0,431
1,60,2,2,2,10.0,-704
1,45,2,0,3,10.0,-214
1,63,1,1,3,10.0,-194
1,17,2,0,5,10.0,113
1,34,2,0,6,10.0,60
1,36,3,2,2,10.0,-1
1,62,3,2,8,10.0,22
1,46,1,1,2,10.0,-135
1,34,2,2,2,10.0,-276
1,38,2,0,3,8.0,-110
1,107,2,0,6,8.0,94
1,42,2,2,6,8.0,-75
1,35,2,0,5,8.0,-68
1,122,3,2,5,8.0,-277
1,71,3,0,7,8.0,242
1,42,2,2,6,8.0,-174
1,11,2,0,4,8.0,707
1,54,2,2,8,8.0,-21
1,58,2,0,5,8.0,-1
1,42,2,2,4,8.0,84
1,116,1,1,2,8.0,-90
1,74,3,2,2,8.0,110
1,54,3,2,2,8.0,-93
1,85,2,0,2,8.0,75
1,38,2,2,10,8.0,-55
1,41,2,0,3,8.0,-122
1,121,3,0,7,8.0,27
1,30,2,2,3,8.0,-4
1,64,2,2,3,12.0,-537
1,15,3,0,10,12.0,530
1,40,2,2,1,12.0,-522
1,128,1,1,2,12.0,588
1,48,2,2,1,12.0,-583
1,51,3,0,4,12.0,577
1,71,2,2,2,8.0,-185
1,60,2,0,3,8.0,-168
1,58,3,2,2,8.0,28
1,60,2,2,2,8.0,-7
1,40,2,0,2,8.0,-16
1,29,0,0,2,8.0,202
1,98,2,2,2,8.0,-240
1,71,2,2,6,8.0,2
1,135,1,1,2,8.0,132
1,34,3,2,5,8.0,-116
1,60,3,2,6,8.0,-292
1,47,2,2,3,8.0,11
1,23,2,0,7,8.0,-36
1,78,3,2,2,8.0,61
1,35,3,0,6,8.0,-15
1,53,2,0,4,8.0,-9
1,120,3,2,2,8.0,34
1,41,3,0,2,8.0,245
1,42,2,2,7,25.0,55
1,63,2,0,5,16.0,128
0,23,2,2,4,16.0,54
1,32,2,2,5,10.0,44
0,73,2,0,5,16.0,131
1,90,2,2,7,25.0,-130
1,41,3,0,6,25.0,-33
1,43,2,0,4,16.0,-131
1,38,2,2,17,16.0,147
1,41,3,0,5,16.0,-77
1,84,2,2,9,16.0,-30
1,56,2,2,5,16.0,-82
1,30,2,2,6,16.0,-119
1,67,2,0,3,16.0,40
1,56,2,2,5,16.0,-48
1,103,2,0,6,16.0,-5
1,40,3,2,5,16.0,158
1,52,2,2,5,16.0,203
1,57,1,1,10,16.0,-79
1,23,2,0,3,16.0,63
1,39,3,0,5,16.0,250
1,52,2,2,4,16.0,-51
1,41,2,0,6,16.0,32
1,33,2,0,5,25.0,85
1,58,2,2,3,25.0,-29
1,31,3,0,4,25.0,-59
1,15,2,0,8,25.0,-17
1,32,2,2,6,25.0,-261
1,45,2,0,5,10.0,-9
1,25,2,0,8,10.0,259
1,15,2,0,5,25.0,2
1,62,2,2,8,25.0,-168
1,59,2,0,9,25.0,-19
1,51,2,0,10,25.0,-154
1,22,2,2,2,25.0,113
1,27,2,0,5,10.0,180
1,34,2,2,6,25.0,45
1,79,0,0,10,10.0,268
1,73,2,0,9,25.0,75
1,74,3,2,1,10.0,94
1,92,2,2,8,10.0,-99
1,26,2,2,5,25.0,-78
1,40,3,2,6,25.0,-76
1,77,2,0,3,10.0,105
1,58,2,2,6,25.0,-213
1,51,3,0,10,25.0,-129
1,73,0,0,7,10.0,183
1,50,3,2,3,25.0,-132
1,52,2,2,4,25.0,58
1,11,3,0,4,25.0,172
1,61,2,0,5,25.0,0
1,19,2,0,5,25.0,-81
1,51,2,0,7,25.0,-77
1,12,2,2,4,25.0,-115
1,86,1,1,5,25.0,270
1,27,3,0,3,25.0,-84
1,86,3,2,3,25.0,-91
1,61,3,0,6,25.0,39
1,53,3,0,3,25.0,125
1,50,3,2,1,25.0,-42
1,16,2,0,7,25.0,-74
1,110,0,2,5,10.0,87
1,45,3,0,5,25.0,-219
1,93,3,0,5,25.0,129
1,105,2,0,4,25.0,117
1,60,2,2,6,25.0,-101
1,58,3,2,6,25.0,-146
1,65,3,0,7,25.0,-108
1,56,3,2,5,25.0,72
1,64,2,2,4,25.0,239
1,4,2,2,1,25.0,-227
1,58,2,2,6,10.0,36
1,34,2,2,3,10.0,-204
0,101,2,0,4,10.0,54
0,35,2,2,5,10.0,-54
0,54,2,2,2,10.0,54
0,116,2,2,2,10.0,-54
1,115,3,0,2,10.0,140
1,48,1,1,6,10.0,-16
1,56,1,1,2,10.0,22
1,54,2,2,2,10.0,75
1,37,2,0,11,10.0,86
1,81,2,0,1,10.0,-69
1,45,2,0,1,10.0,36
1,88,2,2,5,10.0,-323
1,119,3,0,2,10.0,-98
1,60,2,2,7,10.0,216
1,34,3,2,6,10.0,-330
1,94,2,2,6,10.0,-37
1,122,3,2,5,10.0,-215
1,44,2,2,2,10.0,-369
1,26,2,2,5,10.0,298
1,116,2,2,4,10.0,-171
1,31,2,0,5,10.0,-692
1,133,3,0,9,10.0,376
0,65,2,0,4,8.0,-66
0,62,3,2,2,8.0,423
0,62,2,2,3,8.0,-423
0,42,3,2,2,8.0,423
0,42,2,2,2,8.0,-423
0,31,2,0,6,8.0,198
0,46,2,2,4,8.0,-69
0,20,2,2,9,8.0,69
0,73,3,0,8,13.0,737
0,35,3,0,4,14.0,-271
0,71,0,0,7,10.0,271
0,46,2,0,7,14.0,-271
0,52,2,2,8,13.0,-737
1,52,0,2,5,10.0,17
1,70,0,2,2,10.0,188
0,49,2,0,10,20.0,767
1,75,2,0,2,10.0,-19
1,61,3,0,4,10.0,-156
0,41,2,0,8,17.0,334
0,46,2,2,5,17.0,-334
0,53,3,0,10,13.0,135
1,52,3,2,4,10.0,-148
1,36,2,2,3,10.0,60
1,64,2,2,5,10.0,13
1,65,2,0,5,25.0,5
1,71,2,0,9,25.0,-116
1,50,2,2,4,25.0,-396
1,54,3,2,11,25.0,-101
1,76,3,2,7,25.0,42
1,61,2,0,8,25.0,-21
1,53,2,0,4,25.0,78
1,24,2,2,7,25.0,-5
1,64,3,2,2,11.0,-492
1,51,2,0,1,8.0,24
1,71,3,0,3,13.0,-206
0,49,3,0,7,13.0,490
0,34,3,2,3,13.0,-490
1,88,0,2,3,8.0,427
1,11,1,1,4,10.0,-101
1,11,3,0,6,10.0,22
1,86,2,2,7,10.0,-99
1,58,2,2,8,10.0,36
1,50,2,2,17,10.0,17
1,62,2,2,5,10.0,-13
1,39,2,0,9,10.0,506
1,49,2,0,6,10.0,498
1,43,2,0,15,10.0,312
1,84,3,2,6,10.0,-447
1,41,2,0,16,10.0,442
1,48,2,2,9,10.0,-700
1,48,3,2,10,10.0,-385
1,38,2,2,2,10.0,-330
1,41,3,0,6,10.0,649
1,28,2,2,2,10.0,-443
1,74,2,2,9,10.0,-472
1,29,2,0,8,10.0,259
1,45,2,0,4,10.0,140
1,61,3,0,7,10.0,336
1,19,2,0,12,10.0,259
1,48,2,2,8,10.0,-362
1,41,2,0,7,10.0,257
1,30,2,2,2,10.0,-970
1,55,3,0,9,10.0,335
1,72,2,2,10,10.0,-48
1,78,2,2,4,10.0,-859
1,34,2,2,4,10.0,-439
1,56,3,2,11,10.0,-351
1,49,2,0,15,10.0,158
1,72,3,2,10,10.0,151
1,70,2,0,11,13.0,239
1,83,2,0,8,13.0,177
1,57,2,0,6,13.0,235
1,39,2,2,6,13.0,-159
1,56,2,2,4,13.0,-296
1,46,2,2,6,13.0,-104
1,31,3,0,5,13.0,760
1,66,2,2,4,13.0,-168
1,52,2,0,7,13.0,582
1,100,2,2,8,13.0,-297
1,10,2,2,8,13.0,-281
1,49,2,2,10,13.0,-262
1,100,3,2,11,13.0,-241
1,107,2,0,8,13.0,-500
1,44,3,2,3,13.0,-399
1,27,2,0,4,13.0,387
1,72,2,2,8,13.0,-130
1,91,3,0,4,10.0,15
1,35,2,0,5,10.0,-12
1,50,3,2,4,10.0,-118
1,56,2,2,4,10.0,98
1,37,2,0,4,10.0,-3
1,66,2,2,4,10.0,12
1,40,2,0,4,10.0,64
1,32,3,2,1,20.0,-56
1,26,3,2,3,20.0,-599
1,89,3,0,2,8.0,-168
1,65,2,2,3,30.0,159
1,37,2,0,8,30.0,-314
1,48,2,0,6,25.0,4
1,54,0,2,7,10.0,-1
1,43,3,0,2,25.0,-108
1,60,2,2,11,15.0,72
1,122,0,2,2,15.0,-174
1,49,2,0,2,15.0,53
1,56,3,2,4,10.0,-11
0,77,3,0,3,10.0,-22
0,60,2,2,1,10.0,22
0,33,3,0,2,10.0,116
0,83,2,0,5,15.0,-12
1,102,3,2,6,11.0,-13
0,29,2,0,7,8.0,-126
0,91,2,0,4,10.0,-116
0,34,2,2,9,9.0,-278
1,59,2,2,7,10.0,25
1,41,2,0,6,9.0,73
1,54,2,2,6,10.0,33
1,43,2,0,1,10.0,-21
1,34,2,2,9,10.0,-70
1,122,2,2,3,10.0,-30
1,51,3,0,12,10.0,-3
1,62,2,2,10,10.0,374
1,30,2,2,10,10.0,-130
1,79,0,0,9,10.0,-9
1,32,2,2,4,10.0,12
1,78,2,2,5,10.0,-133
1,82,2,2,4,10.0,-143
1,64,2,2,5,18.0,-300
1,59,2,2,5,18.0,-278
1,62,2,2,3,12.0,151
0,104,3,2,8,16.0,-175
1,65,3,0,3,10.0,409
1,23,2,0,3,15.0,-108
1,50,3,2,5,30.0,285
1,58,3,2,4,16.0,-216
1,64,2,2,2,10.0,-143
0,56,2,2,5,8.0,-177
1,43,2,0,3,10.0,-33
1,24,2,2,6,10.0,41
1,104,2,2,10,20.0,-322
0,29,2,0,4,8.0,-56
0,48,2,2,4,12.0,683
1,65,3,0,7,10.0,370
1,20,2,2,6,10.0,315
1,38,3,2,2,10.0,-14
1,26,2,0,11,10.0,-91
1,70,2,2,7,10.0,-161
1,35,2,0,5,10.0,210
1,23,2,0,10,10.0,548
1,76,2,2,3,10.0,-189
1,68,0,2,3,10.0,-373
1,4,2,0,4,8.0,-46
1,30,2,2,2,8.0,-74
1,59,3,0,4,8.0,-31
1,77,2,0,3,8.0,6
1,76,0,2,4,8.0,21
1,34,2,0,8,10.0,72
1,53,2,2,8,10.0,-47
1,91,1,1,7,8.0,-3
1,57,2,0,11,8.0,253
1,42,2,2,8,8.0,-244
1,48,3,2,8,8.0,-489
1,33,1,1,3,8.0,81
1,71,2,0,3,8.0,220
1,26,2,2,6,8.0,-352
1,32,2,2,6,8.0,-148
1,63,3,0,5,8.0,442
1,86,2,2,8,10.0,-132
1,99,2,0,8,11.0,219
1,36,2,2,3,8.0,-170
1,112,2,2,4,8.0,-213
1,39,2,0,7,8.0,351
1,28,2,2,2,8.0,-332
1,65,2,0,6,8.0,227
1,21,2,2,3,8.0,-119
1,98,2,2,9,13.0,-382
1,31,2,2,5,10.0,55
1,68,2,2,6,10.0,-39
1,42,2,0,6,10.0,40
1,42,3,2,8,10.0,19
1,59,2,0,3,10.0,-29
1,80,2,2,11,10.0,-228
1,31,2,2,4,10.0,8
1,107,0,0,7,10.0,-30
1,18,2,2,8,12.0,5
1,72,3,2,4,11.0,-71
0,45,2,0,7,10.0,-46
1,66,2,2,4,25.0,-62
1,93,2,0,3,10.0,-26
1,90,2,2,13,10.0,-36
1,23,2,0,6,10.0,93
1,118,0,2,3,10.0,-304
1,103,1,1,7,10.0,-279
1,23,2,0,8,10.0,117
1,91,3,0,6,25.0,54
1,56,3,2,1,10.0,-93
1,71,3,0,3,10.0,77
1,48,3,2,1,10.0,-59
1,80,2,2,6,10.0,21
1,33,2,0,8,10.0,-128
1,84,0,2,3,10.0,8
1,51,2,0,6,10.0,-271
1,47,2,2,5,10.0,2
1,74,2,2,9,13.0,-57
1,77,2,2,7,10.0,124
1,54,2,2,6,10.0,-14
1,75,0,0,5,10.0,-7
1,89,0,0,5,10.0,-131
1,62,2,2,3,10.0,-33
1,49,2,0,2,10.0,11
1,67,2,0,5,10.0,-34
1,73,2,0,2,10.0,14
1,43,2,0,4,10.0,56
1,70,2,2,11,10.0,4
1,28,2,2,7,10.0,-10
1,16,2,2,4,10.0,-152
1,52,3,2,2,10.0,-109
1,43,2,0,2,10.0,6
1,78,2,2,2,10.0,-49
0,75,2,0,4,45.0,218
1,105,3,0,2,10.0,104
1,103,0,0,1,10.0,92
1,35,2,2,6,10.0,-239
1,45,3,0,6,10.0,64
0,92,1,1,7,8.0,-39
0,108,2,2,11,10.0,-21
0,21,2,0,5,25.0,-11
0,48,3,2,7,25.0,11
0,89,1,1,5,25.0,-11
0,31,3,0,7,25.0,11
0,66,3,2,5,10.0,-321
0,80,2,0,5,18.0,1
0,62,2,0,11,18.0,-321
0,120,3,2,11,11.0,56
1,38,2,0,8,47.0,72
0,61,0,0,8,13.0,519
0,28,2,2,3,13.0,-6
0,99,2,0,5,15.0,-294
1,49,2,2,3,17.0,128
1,44,2,2,6,8.0,46
1,55,2,0,4,25.0,20
1,92,2,2,8,18.0,-16
1,27,2,0,4,10.0,415
1,98,2,2,5,22.0,71
1,24,3,2,4,22.0,-38
1,4,3,2,1,10.0,-334
1,16,2,2,6,23.0,180
0,85,2,0,14,13.0,-28
1,70,3,2,4,18.0,-213
0,36,2,2,4,10.0,-166
1,124,1,1,11,10.0,-69
1,61,2,0,5,8.0,22
1,66,0,2,6,8.0,0
1,20,2,2,6,14.0,42
1,49,2,0,4,13.0,136
1,42,3,2,2,13.0,-120
1,32,2,2,4,13.0,153
1,70,2,2,2,13.0,-139
1,52,2,2,4,13.0,172
1,18,2,2,3,10.0,-355
1,4,3,2,1,10.0,-355
1,54,3,2,5,8.0,-401
1,4,3,2,1,10.0,-364
1,5,3,0,1,10.0,355
1,26,3,2,3,10.0,-345
1,4,3,2,1,10.0,-335
0,115,1,1,3,45.0,36
0,100,3,2,19,9.0,-254
1,113,2,0,18,9.0,254
1,125,2,0,8,9.0,24
1,51,2,0,4,15.0,68
1,65,2,2,7,10.0,-412
1,29,2,0,7,10.0,405
1,26,2,2,4,10.0,-398
1,43,2,0,8,10.0,390
